customer_id,first_name,last_name,email,phone,loyalty_tier,registration_date,total_orders,total_spent,last_order_date,preferred_order_type
CUST-86VZS4,Melissa,White,melissa.white@yahoo.com,554.354.9480,Bronze,2023-07-13,3,169.99,2026-01-17T12:09:18.137418,dine_in
CUST-HW2SWJ,John,Russell,john.russell344@outlook.com,+1-837-577-0143,Bronze,2024-01-03,3,278.13,2025-07-01T13:59:28.137418,takeout
CUST-EHYYCP,Kevin,Perkins,kevin.perkins853@hotmail.com,388.556.8557x4443,Bronze,2025-07-31,5,228.98,2026-01-09T18:57:22.137418,dine_in
CUST-UY52NA,Leslie,Newton,leslie.newton@hotmail.com,001-723-437-4989x41343,Platinum,2023-10-10,1,101.68,2025-07-08T21:14:51.137418,takeout
CUST-ZTVHHP,Kevin,Erickson,kevin.erickson@outlook.com,(240)608-4271,Silver,2024-07-08,7,354.6,2026-01-19T13:58:47.137418,dine_in
CUST-479T7U,Taylor,Alexander,taylor.alexander@gmail.com,(204)471-1671,Bronze,2023-11-07,2,120.22,2025-10-17T10:11:21.137418,dine_in
CUST-BNGL2N,Edward,Hart,christopher31@example.net,001-269-399-3867x74964,Gold,2023-07-10,3,162.66,2025-12-07T09:42:42.137418,takeout
CUST-CAT9MW,Stacey,Clark,josephmiller@example.org,(681)220-6797,Silver,2024-08-19,6,345.41,2025-10-12T21:21:19.137418,dine_in
CUST-8GAEEX,Jesse,Mann,jesse.mann@yahoo.com,001-671-434-9361x832,Bronze,2023-09-10,5,259.02,2026-02-05T10:09:34.137418,dine_in
CUST-V8Y2FK,Charles,Martin,charles.martin@outlook.com,999-347-1746x4887,Gold,2023-09-14,2,83.42,2025-12-24T18:23:13.137418,dine_in
CUST-8GU4HY,Carly,Preston,carly.preston@icloud.com,001-459-940-1399x0490,Silver,2024-01-25,5,273.49,2026-01-17T13:45:37.137418,dine_in
CUST-BTXCWA,April,Ramos,april.ramos984@hotmail.com,429-767-1756x551,Bronze,2025-06-14,8,515.78,2025-10-19T09:36:48.137418,dine_in
CUST-QEFSWV,Robert,Simpson,jcervantes@example.org,215.545.1680x876,Silver,2023-11-09,8,408.65,2026-02-01T21:42:25.137418,dine_in
CUST-4ULH7J,April,Dean,april.dean@hotmail.com,570.434.8247x7109,Silver,2023-08-23,5,436.66,2026-01-08T12:20:37.137418,dine_in
CUST-RLRMJJ,Lance,Smith,lance.smith@outlook.com,(513)917-1274x84677,Silver,2023-06-11,2,166.49,2026-02-06T12:52:28.137418,dine_in
CUST-HPTHRY,Andrea,Reyes,andrea.reyes227@gmail.com,+1-982-414-6584x044,Bronze,2023-07-06,5,304.0,2026-01-26T20:29:53.137418,dine_in
CUST-XMTM9T,Sean,Washington,sean.washington258@hotmail.com,988-867-5339x63605,Bronze,2024-07-04,2,117.41,2026-02-07T17:52:32.137418,dine_in
CUST-LZ8YGZ,Paul,Alvarado,paul.alvarado@icloud.com,+1-227-402-8951x7187,Silver,2023-07-25,2,76.33,2025-12-18T17:32:18.137418,dine_in
CUST-DGHFAT,Robert,Pena,robert.pena@gmail.com,(817)745-9615,Silver,2023-05-14,8,448.47,2026-02-01T22:51:28.137418,takeout
CUST-5R5URQ,Courtney,Clay,courtney.clay883@gmail.com,480.691.3431x6117,Bronze,2024-12-15,3,115.09,2025-12-27T18:30:53.137418,dine_in
CUST-NCWBEU,Rebecca,Williams,rebecca.williams783@yahoo.com,4454562386,Bronze,2024-02-20,4,200.41,2026-01-03T22:49:46.137418,takeout
CUST-V2N7KU,Gregory,Lynch,gregory.lynch@icloud.com,(693)479-2374x7407,Silver,2024-07-30,6,213.59,2026-01-21T13:50:52.137418,dine_in
CUST-8GGXFF,Charles,Landry,charles.landry@gmail.com,001-346-547-4367,Silver,2023-11-13,5,298.21,2025-12-10T21:00:28.137418,dine_in
CUST-BKK5CH,Patrick,Howard,patrick.howard@icloud.com,740-564-0909x7439,Gold,2023-10-14,4,240.97,2026-01-15T19:58:07.137418,takeout
CUST-TW74CF,Dana,Oliver,dana.oliver@icloud.com,+1-421-504-7095x21456,Bronze,2023-11-12,1,180.3,2025-11-28T18:37:26.137418,dine_in
CUST-KNJTQV,David,Ryan,alyssa42@example.com,245.617.1236x8516,Silver,2024-02-27,4,227.03,2025-10-25T18:14:12.137418,dine_in
CUST-AHX5UA,Amanda,Gibson,brenda51@example.net,970.698.5931,Gold,2024-02-02,6,370.02,2025-12-19T19:42:09.137418,dine_in
CUST-2FSQJ9,Debra,Wilson,debra.wilson@hotmail.com,8049711382,Bronze,2023-10-04,2,112.03,2025-07-06T19:52:56.137418,dine_in
CUST-LDFPRX,Nathan,Avery,nathan.avery91@icloud.com,001-786-592-6179x640,Bronze,2023-08-15,3,218.43,2025-11-18T13:13:04.137418,dine_in
CUST-9NS9XT,Scott,Sampson,scott.sampson@yahoo.com,(515)285-0643x171,Silver,2023-12-03,6,259.07,2025-12-11T20:47:08.137418,dine_in
CUST-QBJEK6,Brent,Cook,brent.cook@gmail.com,(793)418-3933,Silver,2023-07-04,2,97.97,2026-02-06T19:30:09.137418,dine_in
CUST-FTTC97,Kristina,Carlson,kristina.carlson@gmail.com,722-284-2102x053,Bronze,2025-12-05,2,181.15,2025-09-27T21:55:37.137418,dine_in
CUST-KYPRRQ,Grant,Williams,grant.williams@yahoo.com,001-568-211-7758x9178,Silver,2025-05-06,1,49.58,2025-04-06T22:58:29.137418,dine_in
CUST-5J3P7S,Jessica,Kerr,stephen00@example.com,(761)877-1159x2124,Bronze,2023-08-02,2,105.71,2025-07-28T18:48:16.137418,dine_in
CUST-U9RETM,Virginia,Schmidt,virginia.schmidt@icloud.com,789.961.1836x736,Gold,2025-04-08,4,297.76,2026-02-09T22:20:03.137418,takeout
CUST-9HN5PL,Raymond,Blair,raymond.blair@hotmail.com,465-245-2711x11615,Silver,2024-12-12,9,564.57,2026-01-31T19:07:10.137418,dine_in
CUST-9RBSU5,Brenda,Hoffman,elizabeth65@example.net,001-360-749-4519x83273,Bronze,2023-12-23,5,239.92,2026-01-17T13:54:31.137418,dine_in
CUST-QZPWER,Megan,Richardson,audrey68@example.net,+1-480-494-0244x550,Bronze,2024-05-30,2,108.16,2026-01-18T13:29:45.137418,dine_in
CUST-W555NL,Ashley,Morales,joycebonilla@example.org,001-383-266-7525x4599,Silver,2025-04-15,6,329.81,2025-12-26T09:53:28.137418,dine_in
CUST-BCW79Z,Eric,Webster,eric.webster@gmail.com,6145767976,Silver,2023-05-04,5,504.8,2026-01-31T20:21:44.137418,dine_in
CUST-FKALBM,Kari,Wilson,kari.wilson@yahoo.com,(614)597-8403x69003,Silver,2024-10-20,4,293.96,2025-09-27T21:52:08.137418,takeout
CUST-FC5VH7,Katrina,Duran,katrina.duran@hotmail.com,751-307-6226x8388,Bronze,2024-04-30,5,269.31,2026-01-25T13:19:33.137418,dine_in
CUST-6QKTC8,Randy,Harmon,esmith@example.com,001-769-466-4160,Bronze,2026-03-25,4,261.87,2026-01-14T21:58:42.137418,dine_in
CUST-YQK95D,Laurie,Montgomery,laurie.montgomery@outlook.com,001-651-761-3696x816,Platinum,2023-08-01,2,83.75,2026-02-04T21:33:58.137418,dine_in
CUST-9XJUXZ,Jeffrey,Maxwell,jeffrey.maxwell@icloud.com,581-388-3552,Gold,2025-07-24,4,186.9,2026-01-10T19:30:47.137418,dine_in
CUST-2H3HGJ,Dwayne,Gonzalez,kathleenrios@example.org,001-977-699-7995x52717,Silver,2024-05-16,6,374.75,2025-12-13T19:46:12.137418,dine_in
CUST-EDWB3B,Laura,Vargas,laura.vargas303@yahoo.com,(881)947-7005x411,Bronze,2023-10-08,6,252.39,2026-02-03T20:22:35.137418,dine_in
CUST-G36MSJ,Betty,Best,betty.best@hotmail.com,001-707-393-5978x2071,Bronze,2025-04-10,9,418.64,2025-12-31T11:54:30.137418,dine_in
CUST-3QC2HX,William,Thompson,william.thompson@hotmail.com,677.888.9255,Gold,2023-09-08,4,202.72,2025-12-21T13:03:19.137418,dine_in
CUST-3ATQXX,Riley,Morgan,riley.morgan240@outlook.com,+1-705-315-1864x492,Bronze,2024-03-13,2,125.87,2025-12-25T18:46:42.137418,dine_in
CUST-8LVWWQ,Brandi,Thomas,kyle62@example.net,001-214-786-5281x685,Silver,2023-05-10,3,131.41,2026-01-18T22:35:42.137418,dine_in
CUST-BB9DHT,Kyle,Bean,kyle.bean@outlook.com,473-832-2141x88805,Silver,2026-02-23,4,295.76,2025-10-14T21:34:53.137418,dine_in
CUST-PZEPDR,Eric,White,eric.white380@outlook.com,001-592-570-6537x947,Bronze,2023-10-27,5,173.62,2026-01-15T20:15:12.137418,takeout
CUST-HM9M6W,Kyle,Stokes,kyle.stokes126@outlook.com,435.697.7468x8623,Gold,2024-12-19,3,132.76,2026-02-11T12:20:58.137418,dine_in
CUST-CGW9BL,Brett,Castillo,angela18@example.org,812-247-8261x3750,Silver,2023-06-18,2,251.38,2026-01-14T17:53:24.137418,takeout
CUST-4TU4H2,Randy,Brooks,xvang@example.org,4519522047,Silver,2023-07-22,5,330.02,2026-01-14T22:41:28.137418,dine_in
CUST-99T3D5,Shane,Smith,shane.smith@outlook.com,304-632-8986,Bronze,2023-08-16,6,259.81,2026-02-04T22:27:52.137418,dine_in
CUST-FBZSZR,John,Martinez,robertbauer@example.com,417-698-0893,Silver,2023-05-07,0,0.0,,
CUST-S8B35S,Ruben,Mendez,ruben.mendez491@gmail.com,296.821.8518,Gold,2023-10-15,6,381.88,2025-10-26T11:50:41.137418,dine_in
CUST-DYQ6LE,Morgan,Williams,morgan.williams@icloud.com,(754)705-1531x9520,Silver,2023-08-17,4,279.06,2026-02-05T22:02:27.137418,dine_in
CUST-9SQVDY,Lisa,Thompson,epollard@example.net,(221)770-4303,Silver,2024-09-11,3,255.8,2025-11-05T20:35:31.137418,dine_in
CUST-ZGQHLQ,Sarah,Robertson,sarah.robertson@gmail.com,+1-674-303-4505,Bronze,2023-07-11,1,88.69,2025-07-24T20:42:31.137418,dine_in
CUST-8XRCCP,Lauren,Kim,ypaul@example.com,(877)458-4161,Bronze,2023-05-16,5,305.44,2026-01-31T19:13:59.137418,takeout
CUST-B8TXP5,Amy,Morris,murphykenneth@example.com,+1-362-875-7059x640,Bronze,2025-09-14,4,306.22,2026-01-04T18:21:08.137418,dine_in
CUST-BKKDSE,Michael,Owen,michael.owen@gmail.com,+1-220-429-7021x35569,Silver,2023-05-09,1,89.45,2026-01-06T20:59:33.137418,takeout
CUST-JHPT2V,Erika,Rush,erika.rush952@icloud.com,(271)492-8565x431,Silver,2024-05-31,5,388.96,2025-12-10T19:49:48.137418,dine_in
CUST-AJ27MF,Victor,Hughes,victor.hughes759@hotmail.com,+1-514-347-3947,Silver,2023-04-06,7,468.64,2026-02-07T13:30:02.137418,dine_in
CUST-ZGPLMZ,Derek,Jones,rachelwallace@example.org,+1-555-418-8442x25831,Silver,2023-04-27,3,204.25,2025-07-19T18:44:34.137418,dine_in
CUST-BFVXJX,Joel,Snyder,joel.snyder@hotmail.com,(989)857-8291x146,Bronze,2023-12-13,2,74.51,2025-11-11T19:21:57.137418,dine_in
CUST-MDXUSK,Kayla,Morrow,kayla.morrow210@icloud.com,425-417-7852,Bronze,2023-06-21,2,118.24,2025-12-04T19:17:02.137418,dine_in
CUST-EJLAZF,Ryan,Bartlett,ryan.bartlett@yahoo.com,7186242253,Gold,2024-11-14,1,18.77,2025-08-17T21:10:28.137418,takeout
CUST-C5BA75,Meghan,King,meghan.king@icloud.com,+1-484-724-9818x2992,Silver,2023-07-29,5,287.22,2025-07-26T17:57:22.137418,dine_in
CUST-N8F8QY,Megan,Elliott,megan.elliott@hotmail.com,2109943969,Bronze,2024-02-13,4,231.01,2026-02-09T19:18:33.137418,delivery
CUST-SNKLLF,Pamela,Gardner,pamela.gardner@gmail.com,+1-947-536-4710x2767,Bronze,2024-09-22,3,217.88,2025-09-18T08:44:57.137418,dine_in
CUST-M8WEDJ,Matthew,Thomas,matthew.thomas@yahoo.com,001-355-662-5881x537,Silver,2023-06-05,5,286.45,2025-11-28T17:25:12.137418,takeout
CUST-2R22Q7,Shannon,Thomas,shannon.thomas@icloud.com,7465963259,Platinum,2023-08-12,1,110.05,2025-05-08T18:00:15.137418,delivery
CUST-QRW3UM,Kathryn,Jimenez,kathryn.jimenez@hotmail.com,277.247.0168x73395,Bronze,2025-01-04,2,145.48,2026-01-27T13:14:28.137418,dine_in
CUST-C55VSQ,Juan,Harper,juan.harper@gmail.com,+1-874-280-1624x5650,Gold,2024-04-14,2,112.61,2025-06-13T20:16:21.137418,dine_in
CUST-LREBD6,Ashley,Lee,ashley.lee@gmail.com,+1-341-468-7849,Bronze,2023-07-08,6,338.31,2025-12-09T17:21:55.137418,dine_in
CUST-QQSFMK,Theresa,Long,theresa.long@outlook.com,985-923-9868x00025,Bronze,2024-03-24,4,308.27,2025-12-10T21:13:16.137418,dine_in
CUST-LLTNJ5,Eduardo,Barry,markaustin@example.org,(794)795-8887x9470,Silver,2023-05-24,5,264.07,2025-11-18T21:33:33.137418,dine_in
CUST-CX7KWX,Emily,Whitney,emily.whitney@gmail.com,001-240-997-4993,Bronze,2024-10-18,5,186.56,2025-10-27T12:53:25.137418,dine_in
CUST-4X4ZXS,George,Fuller,george.fuller@hotmail.com,+1-462-830-9130x756,Bronze,2023-08-08,3,124.97,2025-12-21T12:48:19.137418,dine_in
CUST-8L2G9E,Hannah,Jenkins,hannah.jenkins@gmail.com,001-997-702-8385x78652,Silver,2024-07-28,5,312.49,2025-11-07T19:12:57.137418,dine_in
CUST-SX6VVE,Amy,Lowe,amy.lowe@icloud.com,001-949-773-3484x3443,Bronze,2023-10-22,1,31.15,2026-01-12T20:15:24.137418,dine_in
CUST-PXHQKZ,Timothy,Castro,timothy.castro989@icloud.com,001-344-719-8665x2404,Gold,2023-11-12,0,0.0,,
CUST-4M89QK,Sandra,Douglas,sandra.douglas@icloud.com,001-573-238-4842x1993,Bronze,2023-06-15,3,136.39,2026-01-11T18:40:00.137418,dine_in
CUST-V5BRM7,Elizabeth,Schmidt,briangutierrez@example.net,212.308.2677x3454,Silver,2023-05-14,6,451.6,2026-01-26T13:53:04.137418,dine_in
CUST-CFQS4C,Denise,Hall,gentrygregory@example.org,3677240049,Gold,2025-05-22,4,225.06,2026-01-07T11:33:59.137418,dine_in
CUST-7PNMNC,Justin,Hays,justin.hays@outlook.com,+1-787-428-7431,Gold,2024-04-12,5,226.15,2025-08-24T17:46:48.137418,dine_in
CUST-3EK4YE,Jessica,Wong,alexisrogers@example.com,001-832-396-6851,Bronze,2023-03-28,3,93.98,2026-02-02T13:05:09.137418,takeout
CUST-CJ4TZS,Jack,Taylor,jack.taylor125@outlook.com,730-546-3745x49904,Bronze,2023-10-11,0,0.0,,
CUST-3QD6VA,Bryan,Wilson,bryan.wilson@yahoo.com,426-984-1459x3327,Bronze,2023-03-27,2,148.18,2026-01-25T20:36:15.137418,dine_in
CUST-MUFXSM,Julie,Obrien,emiles@example.net,+1-533-491-8785x19108,Silver,2024-10-09,3,157.09,2026-02-09T17:49:20.137418,dine_in
CUST-SA5BNM,Franklin,Bond,nwilson@example.net,001-871-987-0728,Bronze,2023-04-20,2,76.93,2025-08-27T13:33:24.137418,dine_in
CUST-HXDU2E,Anne,Hansen,anne.hansen@outlook.com,+1-240-364-0391x06518,Bronze,2024-09-27,1,18.66,2025-07-29T12:27:06.137418,dine_in
CUST-QYW3C2,Valerie,Kennedy,valerie.kennedy811@outlook.com,762-326-5676x6182,Bronze,2023-04-11,4,216.83,2026-01-30T20:34:05.137418,dine_in
CUST-7S9TJ2,Gregory,Medina,gregory.medina@outlook.com,723.400.4786x86337,Bronze,2024-04-18,5,300.23,2025-11-26T13:36:50.137418,dine_in
CUST-J3PNQ8,Joshua,Pineda,joshua.pineda@yahoo.com,001-210-569-0331x1907,Bronze,2025-10-23,6,260.35,2026-02-08T11:32:24.137418,dine_in
CUST-S3ZCV4,Joy,Morales,joy.morales336@outlook.com,783.702.8439,Silver,2023-08-07,2,60.58,2026-01-05T19:23:05.137418,takeout
CUST-VPYMB5,Joel,Walter,joel.walter811@hotmail.com,+1-783-864-4089x26870,Gold,2023-04-23,4,107.99,2025-11-10T09:40:47.137418,delivery
CUST-WM3X8E,Kristi,Flores,kristi.flores69@hotmail.com,(862)846-2873x34270,Bronze,2024-04-07,1,80.04,2025-09-13T12:53:28.137418,delivery
CUST-M8BEQM,Angela,Anderson,angela.anderson@gmail.com,543.251.7518,Silver,2023-09-27,5,378.44,2025-12-24T12:23:44.137418,delivery
CUST-WHDZRN,Joseph,Nunez,joseph.nunez@outlook.com,+1-501-539-8373x540,Silver,2023-06-22,6,383.87,2025-11-21T19:24:52.137418,dine_in
CUST-VY9GEC,Suzanne,Wilson,suzanne.wilson@hotmail.com,001-673-693-6385x46785,Gold,2026-03-25,4,206.32,2025-10-18T13:04:46.137418,takeout
CUST-9XYTKK,Michael,Andrade,michael.andrade@yahoo.com,217.653.5560x932,Silver,2023-05-12,2,202.54,2026-01-30T12:01:45.137418,dine_in
CUST-GE3ATM,Angela,Silva,mphillips@example.com,969.937.8547,Silver,2024-03-05,1,97.81,2025-11-22T17:36:37.137418,takeout
CUST-CK9ZS2,Gary,Norton,donaldpayne@example.org,+1-508-301-0062,Bronze,2026-03-25,4,252.7,2025-12-22T18:14:36.137418,dine_in
CUST-WQXM62,Jasmine,Smith,jasmine.smith@yahoo.com,275.609.9770x08860,Bronze,2023-12-06,3,115.44,2026-01-28T13:28:15.137418,delivery
CUST-54SKF7,Amanda,Mitchell,amanda.mitchell@icloud.com,862.311.8233x98454,Gold,2023-07-09,3,159.24,2025-11-01T11:34:54.137418,dine_in
CUST-WTEKTS,Nathan,Sullivan,nathan.sullivan675@icloud.com,001-833-941-0166,Silver,2025-07-21,2,145.3,2025-09-05T11:47:01.137418,dine_in
CUST-L7B5C8,Brian,Smith,christopherbruce@example.net,291-480-3397x40148,Bronze,2023-06-20,5,411.32,2025-12-21T22:05:51.137418,dine_in
CUST-UVA6TW,Sarah,Edwards,sarah.edwards@yahoo.com,892.761.4293,Silver,2023-08-02,1,10.09,2025-03-27T18:41:11.137418,delivery
CUST-CBQRGV,Patrick,Singh,patrick.singh@outlook.com,001-818-750-1631x599,Gold,2026-03-25,1,104.73,2025-04-17T18:25:01.137418,dine_in
CUST-EMTLQJ,Anthony,Nelson,anthony.nelson969@gmail.com,673.558.6629x619,Bronze,2024-03-09,7,394.95,2026-01-24T19:51:48.137418,dine_in
CUST-H5FLUL,Jennifer,Miller,normanbowers@example.org,001-365-451-1047x5412,Bronze,2023-12-15,4,212.62,2025-12-07T13:54:06.137418,dine_in
CUST-RKA8S8,Ryan,Hawkins,ryan.hawkins289@outlook.com,861.801.5819x95604,Bronze,2025-05-15,5,249.77,2025-11-15T12:26:13.137418,takeout
CUST-WRT5P6,Kimberly,Hardy,ashleyjackson@example.com,(824)644-7212,Silver,2023-09-08,4,255.43,2026-01-25T19:12:43.137418,dine_in
CUST-NUGTCS,Robert,Washington,wardsheryl@example.net,+1-879-793-7124x0659,Bronze,2026-03-25,6,438.21,2026-02-12T20:16:59.137418,dine_in
CUST-XD9N3L,Scott,Jordan,kevinmorrison@example.net,575.726.5479,Silver,2023-06-15,5,316.53,2025-12-11T17:55:05.137418,dine_in
CUST-SSBELR,Nicholas,Velasquez,nicholas.velasquez@icloud.com,(651)393-9828x0737,Bronze,2025-11-28,4,341.4,2025-10-22T20:28:47.137418,takeout
CUST-LNV4US,Lori,Flynn,lori.flynn@hotmail.com,(872)843-4266x17979,Bronze,2024-12-02,5,244.6,2025-09-20T19:49:38.137418,dine_in
CUST-MX9U3Z,Amy,Gibbs,amy.gibbs@gmail.com,(789)811-3529x096,Bronze,2024-04-18,1,122.21,2025-10-10T19:06:03.137418,dine_in
CUST-9UHBRS,Daniel,Garcia,williamstone@example.net,001-993-375-6798x250,Silver,2023-09-17,3,128.67,2025-08-27T17:31:01.137418,takeout
CUST-4HUYGQ,Kenneth,Knapp,kenneth.knapp@hotmail.com,912-754-5738,Bronze,2024-09-20,9,454.25,2025-12-28T21:10:54.137418,dine_in
CUST-75ZBEG,Thomas,Kim,thomas.kim@hotmail.com,001-475-414-0105x123,Bronze,2023-06-03,4,212.79,2025-11-19T13:33:46.137418,dine_in
CUST-7LM2ZW,Mark,Simmons,mark.simmons@icloud.com,836.822.6609x379,Platinum,2023-07-23,0,0.0,,
CUST-K892YY,Adam,Lewis,adam.lewis@hotmail.com,919-718-2553x714,Gold,2024-10-25,4,242.21,2025-11-23T12:24:39.137418,dine_in
CUST-JDXN94,Candice,Carr,baileymegan@example.net,(649)391-2513,Gold,2023-07-29,4,250.07,2026-01-19T10:36:27.137418,dine_in
